20.174.15.226:443#AE [1037.16ms]
193.123.74.174:8443#AE [1317.19ms]
38.180.11.15:443#AE [1576.9ms]
176.97.78.80:8443#AE [2053.72ms]
176.97.66.175:443#AE [2056.21ms]
80.227.252.11:8443#AE [4108.66ms]
109.61.42.37:443#AE [4901.5ms]
193.108.112.65:443#AL [1321.14ms]
193.108.112.212:443#AL [1327.66ms]
185.75.243.102:443#AL [1940.44ms]
2.56.206.114:8443#AM [1041.91ms]
2.56.206.114:2053#AM [1042.11ms]
2.56.204.183:443#AM [1042.34ms]
130.195.222.215:443#AT [254.62ms]
94.177.8.78:2053#AT [1397.91ms]
94.177.8.122:8443#AT [1398.26ms]
94.177.8.122:2053#AT [1398.6ms]
141.227.165.197:443#AT [1476.99ms]
67.159.18.61:443#AT [1607.42ms]
87.251.69.44:443#AT [1689.83ms]
46.102.156.144:2053#AT [1753.6ms]
125.7.24.251:443#AU [333.11ms]
207.211.157.214:443#AU [962.57ms]
202.27.229.7:443#AU [1034.26ms]
67.219.111.171:8443#AU [1605.63ms]
176.97.68.17:443#AU [2055.94ms]
172.236.62.238:443#AU [2085.36ms]
170.64.245.159:443#AU [2098.86ms]
170.64.237.192:443#AU [2099.09ms]
38.54.42.124:443#BD [1548.9ms]
104.155.124.198:443#BE [405.92ms]
95.139.91.132:443#BE [1157.48ms]
38.180.18.43:8443#BE [1562.15ms]
108.165.233.223:443#BG [359.32ms]
104.152.48.205:8443#BG [406.27ms]
104.152.48.205:443#BG [406.45ms]
94.156.35.128:2053#BG [888.67ms]
193.37.212.56:2053#BG [1155.28ms]
193.37.212.169:443#BG [1155.67ms]
94.72.140.210:443#BG [1159.9ms]
193.239.160.89:443#BG [1424.85ms]
94.141.97.10:443#BR [1115.12ms]
94.131.19.19:2053#BR [1116.82ms]
38.180.78.255:443#BR [1557.15ms]
216.238.116.196:8443#BR [1719.51ms]
216.238.110.198:8443#BR [1720.09ms]
185.66.71.149:2053#BY [1942.54ms]
185.179.82.201:443#BY [2137.84ms]
104.223.62.204:443#CA [396.77ms]
